Season,League,Trans,YrAdj,FirstName,LastName,Pos,Team,GP,G,A,PTS,GC,WCe ,PIM,PlusMinus,Shots,PPG,PPA,SHG,SHA,ENG,SOShot,SOG,AGP,AG,AA,APTS,AGC,TmGP,TmG,TmA,ExpPts,ExpGC,PAX,GCAX
2014,CIS,0.36,1.37,Sam,Belanger,F,Alberta,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,489,86,133,3.8,1.5,-3.8,-1.5
2016,CIS,0.36,1.38,Andrea,Bell,F,Mount Allison,17,1,1,2,0.9,0.7,0,-7,12,0,,0,,0,,,24,1,1,3,1.2,432,37,48,4.1,1.8,-2.1,-0.9
2016,CIS,0.36,1.38,Cassidy,Bell,D,McGill,18,0,1,1,0.3,0.4,0,0,0,0,,0,,0,,,24,0,1,1,0.4,360,57,92,5.2,2,-4.2,-1.7
2013,CIS,0.36,1.31,Jennifer,Bell,F,Mount Allison,22,1,3,4,1.6,1.4,12,-4,24,0,,0,,0,,,22,1,4,5,2.1,430,44,59,6.4,2.8,-2.4,-1.2
2014,CIS,0.36,1.37,Jennifer,Bell,F,Mount Allison,22,4,1,5,2.3,1.8,14,-5,33,2,,0,,0,,,22,5,1,7,3.2,436,45,66,6.8,2.6,-1.8,-0.3
2015,CIS,0.36,1.44,Jennifer,Bell,F,Mount Allison,17,4,0,4,2,1.4,6,-1,21,0,,0,,0,,,17,6,0,6,2.9,432,59,76,6.4,2.7,-2.4,-0.7
2016,CIS,0.36,1.38,Jennifer,Bell,F,Mount Allison,21,6,2,8,3.8,2.9,12,-6,48,2,,0,,0,,,24,8,3,11,5.2,432,37,48,4.7,1.9,3.3,1.9
2009,CIS,0.36,1.15,Melissa,Bell,F,UOIT,22,0,0,0,0,0,6,0,0,0,,0,,0,,,22,0,0,0,0,461,54,80,8.1,3.2,-8.1,-3.2
2009,CIS,0.36,1.15,Tamara,Bell,F,Guelph,27,14,13,27,10.8,9.7,18,0,0,2,,0,,0,,,27,16,15,31,12.4,481,89,152,15.3,5.4,11.7,5.5
2010,CIS,0.36,1.17,Tamara,Bell,F,Guelph,27,8,12,20,7.7,7.2,16,0,0,2,,0,,0,,,27,9,14,23,9,485,87,142,14.8,5.6,5.2,2.1
2011,CIS,0.36,1.13,Tamara,Bell,F,Guelph,26,7,17,24,8.8,8.6,12,0,0,4,,0,,0,,,26,8,19,27,9.9,464,86,139,14.3,5.6,9.7,3.1
2012,CIS,0.36,1.24,Tamara,Bell,F,Guelph,26,8,14,22,8.1,7.9,12,0,0,0,,0,,0,,,26,10,17,27,10.1,467,95,162,16.6,6.2,5.4,1.9
2014,CIS,0.36,1.37,Robyn,Belland,D,Carleton,20,1,4,5,2.1,1.8,14,0,0,0,,0,,0,,,20,1,5,7,2.9,341,23,29,2,0.9,3,1.2
2015,CIS,0.36,1.44,Robyn,Belland,D,Carleton,20,0,0,0,0,0,28,0,0,0,,0,,0,,,20,0,0,0,0,360,21,30,2,0.8,-2,-0.8
2014,CIS,0.36,1.37,Maude,Bellavance,D,Moncton,21,0,1,1,0.4,0.4,2,0,7,0,,0,,0,,,21,0,1,1,0.5,421,75,98,6,2.6,-5,-2.2
2012,CIS,0.36,1.24,Samantha,Belliveau,F,Moncton,18,2,0,2,1,0.7,8,-6,22,0,,0,,0,,,18,2,0,2,1.2,358,46,67,7.1,2.8,-5.1,-1.8
2016,CIS,0.36,1.38,Audrey,Belzile,F,Concordia,20,9,9,18,7.1,6.5,12,0,0,2,,0,,0,,,24,12,12,25,9.8,361,54,92,9,3.2,9,4
2013,CIS,0.36,1.31,Andrea,Benac,F,Windsor,18,5,0,5,2.5,1.8,6,1,0,0,,0,,0,,,18,7,0,7,3.3,379,85,131,12.6,4.8,-7.6,-2.3
2014,CIS,0.36,1.37,Maresa,Benacquista,F,Carleton,7,0,0,0,0,0,6,0,0,0,,0,,0,,,7,0,0,0,0,341,23,29,1.3,0.6,-1.3,-0.6
2009,CIS,0.36,1.15,Victoria,Benacquista,F,York,25,1,0,1,0.5,0.4,6,0,0,0,,0,,0,,,25,1,0,1,0.6,487,75,108,11.8,4.8,-10.8,-4.3
2010,CIS,0.36,1.17,Victoria,Benacquista,F,York,26,4,2,6,2.8,2.2,18,1,0,2,,0,,0,,,26,5,2,7,3.2,481,56,74,8.5,3.6,-2.5,-0.8
2011,CIS,0.36,1.13,Victoria,Benacquista,F,York,24,2,1,3,1.3,1.1,30,0,0,0,,0,,0,,,24,2,1,3,1.5,456,69,100,11.1,4.5,-8.1,-3.1
2012,CIS,0.36,1.24,Victoria,Benacquista,F,York,24,2,2,4,1.7,1.4,14,0,0,0,,0,,0,,,24,2,2,5,2.2,467,50,68,7.4,3.1,-3.4,-1.4
2009,CIS,0.36,1.15,Erica,Bennett,D,Queen's,1,0,0,0,0,0,0,0,0,0,,0,,0,,,1,0,0,0,0,433,91,143,0.4,0.1,-0.4,-0.1
2009,CIS,0.36,1.15,Vanessa,Bennett,D,Laurier,27,0,5,5,1.7,1.8,6,0,0,0,,0,,0,,,27,0,6,6,2,486,97,142,9.2,3.8,-4.2,-2.1
2015,CIS,0.36,1.44,Abby,Benning,D,Alberta,24,0,5,5,1.6,1.8,2,14,14,0,1,0,0,0,0,0,24,0,7,7,2.3,487,62,96,5.3,2.1,-0.3,-0.5
2016,CIS,0.36,1.38,Abby,Benning,D,Alberta,28,3,6,9,3.5,3.2,8,7,35,1,,0,,0,,,24,4,8,12,4.8,504,72,108,6.7,2.7,2.3,0.8
2014,CIS,0.36,1.37,Ali,Beres,F,Western,23,2,4,6,2.2,2.2,10,0,0,1,,0,,0,,,23,3,5,8,3,430,61,101,10.6,4,-4.6,-1.8
2015,CIS,0.36,1.44,Ali,Beres,F,Western,22,1,3,4,1.4,1.4,10,0,0,1,,0,,0,,,22,1,4,6,2,432,61,104,10.4,3.9,-6.4,-2.5
2016,CIS,0.36,1.38,Ali,Beres,F,Western,23,2,4,6,2.3,2.2,14,0,0,1,,0,,0,,,24,3,6,8,3.2,431,68,102,11.1,4.5,-5.1,-2.1
2016,CIS,0.36,1.38,Annie,Berg,F,Brock,24,11,12,23,9.3,8.3,18,0,0,3,,0,,1,,,24,15,17,32,12.8,431,51,81,7.7,2.8,15.3,6.4
2009,CIS,0.36,1.15,Claudia,Bergeron,F,Carleton,20,7,6,13,5.3,4.7,14,1,0,2,,0,,0,,,20,8,7,15,6.1,347,36,59,6,2.1,7,3.2
2010,CIS,0.36,1.17,Claudia,Bergeron,F,Carleton,20,6,11,17,6.3,6.1,4,0,0,1,,0,,0,,,20,7,13,20,7.4,347,41,68,6.8,2.6,10.2,3.7
2011,CIS,0.36,1.13,Claudia,Bergeron,F,Carleton,18,7,6,13,5.6,4.7,10,0,0,1,,0,,0,,,18,8,7,15,6.3,346,49,70,7,2.8,6,2.8
2012,CIS,0.36,1.24,Natacha,Bergeron,D,Moncton,22,1,9,10,3.6,3.6,16,-2,24,1,,0,,0,,,22,1,11,12,4.5,358,46,67,4.5,2,5.5,1.6
2013,CIS,0.36,1.31,Natacha,Bergeron,D,Moncton,20,6,1,7,3.4,2.5,16,2,52,3,,0,,0,,,20,8,1,9,4.5,383,53,61,3.9,1.7,3.1,1.7
2014,CIS,0.36,1.37,Natacha,Bergeron,D,Moncton,24,6,11,17,7.2,6.1,8,11,51,2,,0,,0,,,24,8,15,23,9.9,421,75,98,6.3,2.8,10.7,4.4
2015,CIS,0.36,1.44,Natacha,Bergeron,D,Moncton,24,4,5,9,3.7,3.2,4,3,26,0,,0,,0,,,24,6,7,13,5.4,388,72,103,7.3,3,1.7,0.8
2010,CIS,0.36,1.17,Melissa,Berney,D,UOIT,23,2,2,4,1.7,1.4,8,0,0,2,,0,,0,,,23,2,2,5,2,478,49,69,3.8,1.6,0.2,0.1
2011,CIS,0.36,1.13,Melissa,Berney,D,UOIT,26,1,9,10,3.3,3.6,26,0,0,0,,0,,0,,,26,1,10,11,3.8,470,62,98,5.9,2.4,4.1,1
2012,CIS,0.36,1.24,Melissa,Berney,D,UOIT,26,2,9,11,4.1,4,30,0,0,1,,0,,0,,,26,2,11,14,5.1,459,57,82,5.1,2.2,5.9,1.9
2013,CIS,0.36,1.31,Melissa,Berney,D,UOIT,24,4,10,14,5.3,5,26,1,0,0,,0,,0,,,24,5,13,18,6.9,426,61,93,5.6,2.3,8.4,3
2014,CIS,0.36,1.37,Melissa,Berney,D,UOIT,21,1,2,3,1.2,1.1,16,0,0,1,,0,,0,,,21,1,3,4,1.6,433,41,59,3.3,1.4,-0.3,-0.2
2009,CIS,0.36,1.15,Dominique,Bernier,F,St. Thomas,24,3,11,14,5,5,24,-4,51,2,,0,,0,,,24,3,13,16,5.7,341,48,76,10,4.1,4,0.9
2010,CIS,0.36,1.17,Dominique,Bernier,F,St. Thomas,22,13,9,22,9.6,7.9,25,1,64,4,,0,,0,,,22,15,11,26,11.2,312,62,90,11.8,4.5,10.2,5.1
2016,CIS,0.36,1.38,Judyane,Bernier,F,Moncton,9,2,3,5,2,1.8,2,0,18,0,,0,,0,,,24,3,4,7,2.8,399,53,79,3.5,1.4,1.5,0.6
2016,CIS,0.36,1.38,Marie-Pascale,Bernier,F,Concordia,20,8,2,10,4.6,3.6,8,0,0,3,,0,,0,,,24,11,3,14,6.3,361,54,92,9.6,3.2,0.4,1.3
2013,CIS,0.36,1.31,Mackenzie,Berthiaume,F,York,16,0,0,0,0,0,0,0,0,0,,0,,0,,,16,0,0,0,0,427,46,63,5.1,2.1,-5.1,-2.1
2012,CIS,0.36,1.24,Carley,Bertram,F,Mount Royal,28,2,0,2,1,0.7,22,-14,21,0,0,1,0,0,0,0,28,2,0,2,1.2,492,48,68,8.3,3.3,-6.3,-2.3
2013,CIS,0.36,1.31,Carley,Bertram,F,Mount Royal,28,0,0,0,0,0,20,-11,12,0,0,0,0,0,0,0,28,0,0,0,0,504,44,49,6.6,3.1,-6.6,-3.1
2014,CIS,0.36,1.37,Carley,Bertram,F,Mount Royal,24,0,1,1,0.3,0.4,10,-11,14,0,0,0,0,0,0,0,24,0,1,1,0.4,500,38,58,5.7,2.3,-4.7,-2
2015,CIS,0.36,1.44,Carley,Bertram,F,Mount Royal,28,6,4,10,4.4,3.6,10,1,35,1,0,0,0,1,0,0,28,9,6,14,6.3,503,49,72,7.9,3,2.1,1.3
2011,CIS,0.36,1.13,Victoria,Bertrand,F,Waterloo,26,1,0,1,0.5,0.4,4,0,0,0,,0,,0,,,26,1,0,1,0.6,460,47,61,7.7,3.3,-6.7,-2.8
2013,CIS,0.36,1.31,Elissa,Bertuzzi,F,Laurentian,24,2,5,7,3.1,2.5,14,0,0,0,,1,,1,,,24,3,7,9,4.1,419,46,54,6.8,3.2,0.2,-0.1
2014,CIS,0.36,1.37,Elissa,Bertuzzi,F,Laurentian,23,3,2,5,2.3,1.8,0,0,0,1,,0,,0,,,23,4,3,7,3.1,404,34,44,5.3,2.2,-0.3,0
2015,CIS,0.36,1.44,Elissa,Bertuzzi,F,Laurentian,24,3,2,5,2.3,1.8,4,0,0,1,,0,,0,,,24,4,3,7,3.2,429,46,61,7.3,3.1,-2.3,-0.8
