Season,League,Trans,YrAdj,FirstName,LastName,Pos,Team,GP,G,A,PTS,GC,WCe ,PIM,PlusMinus,Shots,PPG,PPA,SHG,SHA,ENG,SOShot,SOG,AGP,AG,AA,APTS,AGC,TmGP,TmG,TmA,ExpPts,ExpGC,PAX,GCAX
2010,NCAA-III,0.3,1.24,Caitlyn,Farragher,F,Salve Regina,23,3,1,4,1.9,1.2,20,,,0,,0,,0,,,27,4,1,5,2.4,447,57,66,7.7,3.5,-3.7,-1.6
2011,NCAA-III,0.3,1.21,Caitlyn,Farragher,F,Salve Regina,26,2,2,4,2,1.2,18,,,0,,0,,0,,,27,2,2,5,2.4,453,77,79,11.1,5.5,-7.1,-3.5
2012,NCAA-III,0.3,1.23,Caitlyn,Farragher,F,Salve Regina,26,0,2,2,0.7,0.6,12,,,0,,0,,0,,,27,0,2,2,0.8,456,84,125,15,6.1,-13,-5.4
2015,NCAA-III,0.3,1.26,Meaghan,Farragher,D,Endicott,25,1,4,5,2.1,1.5,8,,,0,,0,,0,,,27,1,5,6,2.6,450,57,71,4.8,2.2,0.2,-0.1
2016,NCAA-III,0.3,1.22,Meaghan,Farragher,D,Endicott,26,0,9,9,3,2.7,6,,,0,,0,,0,,,27,0,11,11,3.6,485,81,123,7.4,3.1,1.6,-0.1
2004,NCAA-III,0.3,1.03,Kaitlyn,Farrell,D,Salve Regina,23,7,2,9,4.4,2.7,,,,1,,0,,0,,,27,7,2,9,4.5,381,48,55,4,1.8,5,2.6
2005,NCAA-III,0.3,1.01,Kaitlyn,Farrell,D,Salve Regina,19,3,6,9,3.5,2.7,,,,1,,1,,0,,,27,3,6,9,3.5,252,49,73,6.1,2.5,2.9,1
2004,NCAA-III,0.3,1.03,Lacey,Farrell,F,Middlebury,16,3,5,8,3.2,2.4,,,,0,,0,,0,,,27,3,5,8,3.3,539,143,208,12.6,5.1,-4.6,-1.9
2005,NCAA-III,0.3,1.01,Lacey,Farrell,F,Middlebury,21,1,2,3,1.3,0.9,,,,1,,0,,0,,,27,1,2,3,1.3,520,127,162,14.4,6.4,-11.4,-5.1
2006,NCAA-III,0.3,1.04,Lacey,Farrell,F,Middlebury,23,4,3,7,3,2.1,,,,0,,2,,0,,,27,4,3,7,3.1,522,116,174,15.7,6.2,-8.7,-3.2
2007,NCAA-III,0.3,1.13,Lacey,Farrell,F,Middlebury,22,5,7,12,4.9,3.6,16,,,2,,0,,0,,,27,6,8,14,5.5,457,106,157,15.2,6.1,-3.2,-1.3
2010,NCAA-III,0.3,1.24,Olivia,Farrell,F,Connecticut College,25,5,16,21,9.1,6.3,20,,,2,,0,,0,,,27,6,20,26,11.3,446,67,81,9,4.4,12,4.7
2011,NCAA-III,0.3,1.21,Olivia,Farrell,F,Connecticut College,25,5,13,18,6.8,5.4,16,,,0,,0,,1,,,27,6,16,22,8.3,450,60,90,9.3,3.9,8.7,3
2012,NCAA-III,0.3,1.23,Olivia,Farrell,F,Connecticut College,25,4,7,11,4.8,3.3,22,,,1,,0,,0,,,27,5,9,14,5.9,459,57,72,8.2,3.7,2.8,1.1
2013,NCAA-III,0.3,1.25,Olivia,Farrell,F,Connecticut College,26,8,8,16,7,4.8,38,,,2,,0,,0,,,27,10,10,20,8.7,468,62,84,9.2,3.8,6.8,3.1
2005,NCAA-III,0.3,1.01,Samantha,Farrell,F,Augsburg,23,2,2,4,1.9,1.2,,,,0,,0,,0,,,27,2,2,4,1.9,340,58,67,10.5,4.9,-6.5,-3
2006,NCAA-III,0.3,1.04,Samantha,Farrell,F,Augsburg,10,1,0,1,0.5,0.3,,,,0,,0,,0,,,27,1,0,1,0.5,303,60,59,4.8,2.4,-3.8,-1.9
2012,NCAA-III,0.3,1.23,Shannon,Farrell,F,Trinity,24,4,3,7,3,2.1,4,,,1,,0,,0,,,27,5,4,9,3.7,450,59,92,9.7,3.7,-2.7,-0.8
2013,NCAA-III,0.3,1.25,Shannon,Farrell,F,Trinity,18,3,6,9,3.5,2.7,2,,,0,,0,,0,,,27,4,8,11,4.4,449,72,109,8.6,3.5,0.4,0
2014,NCAA-III,0.3,1.24,Shannon,Farrell,F,Trinity,27,9,14,23,9.1,6.9,18,,,1,,1,,1,,,27,11,17,28,11.2,455,90,138,15.5,6.1,7.5,2.9
2015,NCAA-III,0.3,1.26,Shannon,Farrell,F,Trinity,26,14,6,20,9.1,6,4,,,4,,1,,0,,,27,18,8,25,11.4,468,77,109,11.7,4.4,8.3,4.7
2014,NCAA-III,0.3,1.24,Kenna,Farrey,F,St Norbert,24,0,8,8,2.3,2.4,4,,,0,,0,,0,,,27,0,10,10,2.9,481,89,152,14.7,5.6,-6.7,-3.3
2015,NCAA-III,0.3,1.26,Kenna,Farrey,F,St Norbert,27,1,3,4,1.5,1.2,2,,,0,,0,,0,,,27,1,4,5,1.9,504,68,101,11.2,4.6,-7.2,-3
2016,NCAA-III,0.3,1.22,Kenna,Farrey,F,St Norbert,18,0,2,2,0.6,0.6,6,,,0,,0,,0,,,27,0,2,2,0.8,430,37,57,4.8,1.9,-2.8,-1.3
2003,NCAA-III,0.3,1.04,Kayleigh,Fauss,D,Manhattanville,5,0,2,2,0.7,0.6,,,,0,,0,,0,,,27,0,2,2,0.7,498,159,221,2.6,1.1,-0.6,-0.4
2004,NCAA-III,0.3,1.03,Kayleigh,Fauss,D,Utica,16,1,3,4,1.5,1.2,,,,0,,0,,0,,,27,1,3,4,1.6,446,81,117,4.8,2,-0.8,-0.4
2004,NCAA-III,0.3,1.03,Carolyn,Fauteux,F,Neumann,19,9,11,20,9,6,,,,3,,2,,0,,,27,9,11,21,9.3,342,74,90,10.2,4.6,9.8,4.4
2005,NCAA-III,0.3,1.01,Carolyn,Fauteux,F,Neumann,23,11,7,18,8.5,5.4,,,,2,,1,,0,,,27,11,7,18,8.6,419,82,96,11.2,4.9,6.8,3.5
2006,NCAA-III,0.3,1.04,Carolyn,Fauteux,F,Neumann,20,7,5,12,5.3,3.6,,,,4,,0,,0,,,27,7,5,13,5.5,369,63,88,9.6,3.9,2.4,1.4
2007,NCAA-III,0.3,1.13,Carolyn,Fauteux,F,Neumann,26,7,13,20,8.2,6,8,,,2,,0,,0,,,27,8,15,23,9.2,467,63,88,9.3,4,10.7,4.2
2011,NCAA-III,0.3,1.21,Mia,Favretto,D,Plattsburgh,28,0,2,2,0.7,0.6,16,,,0,,0,,0,,,27,0,2,2,0.8,511,124,184,11.8,4.8,-9.8,-4.1
2012,NCAA-III,0.3,1.23,Mia,Favretto,D,Plattsburgh,30,1,6,7,2.6,2.1,8,,,0,,0,,0,,,27,1,7,9,3.2,519,139,203,13.7,5.6,-6.7,-3.1
2013,NCAA-III,0.3,1.25,Mia,Favretto,D,Plattsburgh,30,1,7,8,2.7,2.4,8,,,0,,0,,0,,,27,1,9,10,3.4,537,148,232,14.7,5.8,-6.7,-3.1
2014,NCAA-III,0.3,1.24,Mia,Favretto,D,Plattsburgh,30,7,10,17,7.1,5.1,10,,,1,,0,,0,,,27,9,12,21,8.7,538,148,208,13.4,5.6,3.6,1.5
2001,NCAA-III,0.3,0.92,Jodi,Faye,F,Wisconsin Superior,23,13,12,25,11.6,7.5,,,,0,,0,,0,,,27,12,11,23,10.7,454,106,125,13.2,6,11.8,5.6
2002,NCAA-III,0.3,1,Jodi,Faye,F,Wisconsin Superior,23,7,9,16,7.4,4.8,,,,2,,0,,0,,,27,7,9,16,7.4,453,58,67,7,3.3,9,4.1
2011,NCAA-III,0.3,1.21,Izzy,Fayerman,F,Potsdam,25,7,14,21,8.9,6.3,27,,,3,,0,,0,,,27,8,17,25,10.7,318,82,107,17.2,7.7,3.8,1.2
2012,NCAA-III,0.3,1.23,Izzy,Fayerman,F,Potsdam,26,7,5,12,5.4,3.6,6,,,1,,0,,0,,,27,9,6,15,6.6,413,50,67,8.5,3.5,3.5,1.9
2013,NCAA-III,0.3,1.25,Izzy,Fayerman,F,Potsdam,24,8,6,14,5.8,4.2,6,,,3,,0,,0,,,27,10,8,18,7.3,383,68,113,13.4,4.8,0.6,1
2014,NCAA-III,0.3,1.24,Izzy,Fayerman,F,Potsdam,25,8,9,17,7.3,5.1,6,,,2,,1,,1,,,27,10,11,21,9,406,48,66,7.6,3.1,9.4,4.1
2014,NCAA-III,0.3,1.24,Krista,Federow,F,William Smith,25,11,8,19,8.4,5.7,18,,,4,,2,,0,,,27,14,10,23,10.4,362,42,57,7.1,2.8,11.9,5.7
2015,NCAA-III,0.3,1.26,Krista,Federow,F,William Smith,25,12,10,22,9.4,6.6,4,,,2,,1,,1,,,27,15,13,28,11.8,450,50,74,7.2,2.7,14.8,6.7
2016,NCAA-III,0.3,1.22,Krista,Federow,F,William Smith,25,5,10,15,5.5,4.5,16,,,2,,0,,0,,,27,6,12,18,6.8,450,45,74,7.3,2.8,7.7,2.7
2011,NCAA-III,0.3,1.21,Emily,Federspiel,F,Umass Boston,25,0,1,1,0.4,0.3,12,,,0,,0,,0,,,27,0,1,1,0.4,441,38,53,6.5,2.7,-5.5,-2.4
2012,NCAA-III,0.3,1.23,Emily,Federspiel,F,Umass Boston,23,1,0,1,0.5,0.3,0,,,0,,0,,0,,,27,1,0,1,0.6,484,60,68,7.6,3.5,-6.6,-3
2004,NCAA-III,0.3,1.03,Courtney,Feeney,F,Southern Maine,25,3,7,10,3.9,3,,,,1,,0,,0,,,27,3,7,10,4,443,52,77,8.5,3.5,1.5,0.3
2009,NCAA-III,0.3,1.16,Mary,Fehr,D,Nichols,25,2,2,4,1.8,1.2,38,,,0,,0,,0,,,27,2,2,5,2.1,447,52,63,4.4,2,-0.4,-0.2
2010,NCAA-III,0.3,1.24,Mary,Fehr,D,Nichols,21,1,1,2,1,0.6,24,,,0,,0,,0,,,27,1,1,2,1.2,425,26,26,1.7,0.9,0.3,0.1
2011,NCAA-III,0.3,1.21,Mary,Fehr,D,Nichols,26,1,5,6,2.4,1.8,22,,,0,,0,,0,,,27,1,6,7,2.9,468,53,69,4.6,2,1.4,0.4
2012,NCAA-III,0.3,1.23,Mary,Fehr,D,Nichols,25,0,2,2,0.8,0.6,22,,,0,,0,,0,,,27,0,2,2,1,411,41,50,3.8,1.8,-1.8,-1
2008,NCAA-III,0.3,1.16,Claire,Feldman-Reich,D,Wesleyan,19,0,0,0,0,0,10,,,0,,0,,0,,,27,0,0,0,0,412,24,35,1.9,0.8,-1.9,-0.8
2009,NCAA-III,0.3,1.16,Claire,Feldman-Reich,D,Wesleyan,4,0,0,0,0,0,0,,,0,,0,,0,,,27,0,0,0,0,392,23,25,0.3,0.2,-0.3,-0.2
2005,NCAA-III,0.3,1.01,Sandra,Felten,F,Bethel,24,9,9,18,8.6,5.4,,,,2,,0,,0,,,27,9,9,18,8.7,421,68,74,9,4.3,9,4.4
2006,NCAA-III,0.3,1.04,Sandra,Felten,F,Bethel,23,14,9,23,10.4,6.9,,,,3,,1,,0,,,27,15,9,24,10.9,412,39,51,4.8,1.8,18.2,8.7
2007,NCAA-III,0.3,1.13,Sandra,Felten,F,Bethel,23,20,12,32,14.6,9.6,30,,,5,,1,,0,,,27,23,14,36,16.6,413,60,78,7.5,2.8,24.5,11.8
2008,NCAA-III,0.3,1.16,Sandra,Felten,F,Bethel,25,7,11,18,7.4,5.4,32,,,5,,1,,0,,,27,8,13,21,8.6,447,56,79,8.3,3.5,9.7,3.9
2007,NCAA-III,0.3,1.13,Jessica,Feltes,D,St Catherine,25,0,1,1,0.4,0.3,22,,,0,,0,,0,,,27,0,1,1,0.5,437,58,71,5.2,2.3,-4.2,-1.9
2008,NCAA-III,0.3,1.16,Jessica,Feltes,D,St Catherine,24,0,5,5,2.2,1.5,10,,,0,,0,,0,,,27,0,6,6,2.5,391,56,65,5.1,2.4,-0.1,-0.3
2009,NCAA-III,0.3,1.16,Jessica,Feltes,D,St Catherine,24,0,7,7,2.5,2.1,6,,,0,,0,,0,,,27,0,8,8,2.9,450,73,104,6.4,2.7,0.6,-0.3
2010,NCAA-III,0.3,1.24,Jessica,Feltes,D,St Catherine,24,4,4,8,3.5,2.4,8,,,0,,1,,0,,,27,5,5,10,4.3,430,66,89,5.8,2.4,2.2,1
2016,NCAA-III,0.3,1.22,Abby,Felton,F,Bethel,25,6,1,7,3.3,2.1,2,,,0,,0,,0,,,27,7,1,9,4.1,446,64,97,11,4.1,-4,-0.8
2011,NCAA-III,0.3,1.21,Jordan,Fencl,F,Nichols,14,2,0,2,1,0.6,8,,,2,,0,,0,,,27,2,0,2,1.2,468,53,69,4.4,1.9,-2.4,-0.9
2012,NCAA-III,0.3,1.23,Jordan,Fencl,F,Nichols,16,0,2,2,0.8,0.6,14,,,0,,0,,0,,,27,0,2,2,1,411,41,50,4.3,2,-2.3,-1.2
2013,NCAA-III,0.3,1.25,Jordan,Fencl,F,Nichols,20,1,0,1,0.5,0.3,32,,,0,,0,,0,,,27,1,0,1,0.6,450,31,43,4.1,1.7,-3.1,-1.2
2014,NCAA-III,0.3,1.24,Jordan,Fencl,F,Nichols,24,2,1,3,1.4,0.9,56,,,0,,0,,0,,,27,2,1,4,1.7,466,43,54,6.1,2.7,-3.1,-1.3
2009,NCAA-III,0.3,1.16,Caralie,Fennessey,F,Buffalo State,23,0,0,0,0,0,2,,,0,,0,,0,,,27,0,0,0,0,374,46,55,7.9,3.6,-7.9,-3.6
2010,NCAA-III,0.3,1.24,Caralie,Fennessey,D/F,Buffalo State,14,0,0,0,0,0,2,,,0,,0,,0,,,27,0,0,0,0,431,53,74,2.8,1.2,-2.8,-1.2
2012,NCAA-III,0.3,1.23,Caralie,Fennessey,D,Cortland,17,0,0,0,0,0,6,,,0,,0,,0,,,27,0,0,0,0,414,43,60,2.9,1.2,-2.9,-1.2
2013,NCAA-III,0.3,1.25,Caralie,Fennessey,D,Cortland,18,0,0,0,0,0,2,,,0,,0,,0,,,27,0,0,0,0,448,27,37,1.8,0.8,-1.8,-0.8
2001,NCAA-III,0.3,0.92,Gwen,Fenrich,F,Wisconsin Stevens point,26,2,0,2,1,0.6,,,,0,,0,,0,,,27,2,0,2,0.9,431,109,125,17.9,8.2,-15.9,-7.2
2016,NCAA-III,0.3,1.22,Linn,FernstrSm,D,Johnson And wales,19,0,2,2,0.8,0.6,14,,,0,,0,,0,,,27,0,2,2,1,389,51,65,3.9,1.7,-1.9,-1
2013,NCAA-III,0.3,1.25,Aliya,Feroe,F,Bowdoin,27,0,4,4,1.4,1.2,2,,,0,,0,,0,,,27,0,5,5,1.7,435,58,83,10.9,4.6,-6.9,-3.2
2014,NCAA-III,0.3,1.24,Aliya,Feroe,F,Bowdoin,26,0,0,0,0,0,2,,,0,,0,,0,,,27,0,0,0,0,448,62,93,11.5,4.6,-11.5,-4.6
2013,NCAA-III,0.3,1.25,Erin,Ferrara,D,Southern Maine,23,0,1,1,0.4,0.3,6,,,0,,0,,0,,,27,0,1,1,0.5,412,44,56,3.9,1.7,-2.9,-1.3
2007,NCAA-III,0.3,1.13,Kaleigh,Ferrari,F/D,St Michaels,21,0,1,1,0.3,0.3,6,,,0,,0,,0,,,27,0,1,1,0.4,448,61,92,9,3.6,-8,-3.3
2008,NCAA-III,0.3,1.16,Kaleigh,Ferrari,F/D,St Michaels,23,1,5,6,2.4,1.8,12,,,0,,0,,0,,,27,1,6,7,2.8,484,52,69,6.9,3.1,-0.9,-0.7
2009,NCAA-III,0.3,1.16,Kaleigh,Ferrari,F,St Michaels,25,1,2,3,1.3,0.9,8,,,0,,0,,0,,,27,1,2,3,1.5,450,50,65,7.9,3.5,-4.9,-2.2
2010,NCAA-III,0.3,1.24,Kaleigh,Ferrari,F,St Michaels,20,2,1,3,1.4,0.9,12,,,0,,0,,0,,,27,2,1,4,1.7,485,62,78,7.1,3.1,-4.1,-1.7
2015,NCAA-III,0.3,1.26,Kelly,Ferreira,F,Nichols,15,1,2,3,1.2,0.9,8,,,0,,0,,0,,,27,1,3,4,1.5,450,20,29,1.9,0.8,1.1,0.4
2016,NCAA-III,0.3,1.22,Kelly,Ferreira,F,Nichols,19,0,1,1,0.4,0.3,14,,,0,,0,,0,,,27,0,1,1,0.5,450,20,23,2.2,1.1,-1.2,-0.6
2006,NCAA-III,0.3,1.04,Tracey,Ferriter,F,Williams,25,6,9,15,6.3,4.5,,,,1,,0,,1,,,27,6,9,16,6.5,367,80,110,15.4,6.5,-0.4,-0.2
2007,NCAA-III,0.3,1.13,Tracey,Ferriter,F,Williams,23,8,9,17,7.5,5.1,20,,,2,,1,,0,,,27,9,10,19,8.5,387,50,64,7.4,3.2,9.6,4.3
2008,NCAA-III,0.3,1.16,Tracey,Ferriter,F,Williams,25,11,10,21,9.2,6.3,30,,,1,,1,,0,,,27,13,12,24,10.6,392,58,79,9.5,3.8,11.5,5.3
2009,NCAA-III,0.3,1.16,Tracey,Ferriter,F,Williams,25,11,9,20,8.9,6,10,,,6,,1,,0,,,27,13,10,23,10.4,407,61,80,9.5,3.9,10.5,5
2001,NCAA-III,0.3,0.92,Sarah,Fewchuk,F,Elmira,22,4,10,14,5.4,4.2,,,,0,,0,,0,,,27,4,9,13,5,482,178,260,24.3,10,-10.3,-4.6
2002,NCAA-III,0.3,1,Sarah,Fewchuk,F,Elmira,20,5,7,12,4.8,3.6,,,,0,,0,,0,,,27,5,7,12,4.8,519,170,264,20.3,7.9,-8.3,-3.2
2003,NCAA-III,0.3,1.04,Sarah,Fewchuk,F,Elmira,24,5,5,10,4.2,3,,,,0,,0,,0,,,27,5,5,10,4.3,504,115,173,16.7,6.6,-6.7,-2.4
2004,NCAA-III,0.3,1.03,Sarah,Fewchuk,F,Elmira,10,0,5,5,1.5,1.5,,,,0,,0,,0,,,27,0,5,5,1.6,504,130,214,8.2,3.2,-3.2,-1.6
2014,NCAA-III,0.3,1.24,Kiley,Fewster,F,William Smith,23,5,3,8,3.6,2.4,32,,,1,,1,,0,,,27,6,4,10,4.5,362,42,57,7.4,3,0.6,0.6
2015,NCAA-III,0.3,1.26,Kiley,Fewster,F,William Smith,25,5,2,7,3.2,2.1,12,,,0,,1,,0,,,27,6,3,9,4,450,50,74,8.3,3.2,-1.3,0
2016,NCAA-III,0.3,1.22,Kiley,Fewster,F,William Smith,25,2,4,6,2.2,1.8,20,,,0,,1,,0,,,27,2,5,7,2.7,450,45,74,8,3,-2,-0.8
2013,NCAA-III,0.3,1.25,Alena,Fiala,F,Finlandia,22,3,3,6,2.5,1.8,16,,,2,,0,,0,,,27,4,4,8,3.1,343,24,37,4.5,1.7,1.5,0.7
2014,NCAA-III,0.3,1.24,Alena,Fiala,F,Finlandia,21,1,3,4,1.7,1.2,14,,,0,,0,,0,,,27,1,4,5,2.1,246,18,22,4,1.9,0,-0.2
2015,NCAA-III,0.3,1.26,Alena,Fiala,F,Finlandia,24,3,1,4,1.9,1.2,44,,,1,,0,,0,,,27,4,1,5,2.4,325,20,23,3.7,1.6,0.3,0.3
2016,NCAA-III,0.3,1.22,Alena,Fiala,F,Finlandia,25,4,9,13,5.7,3.9,26,,,0,,0,,0,,,27,5,11,16,7,291,33,40,6.8,3.3,6.2,2.4
2010,NCAA-III,0.3,1.24,Claire,Ficaro,D,Plymouth State,17,0,1,1,0.4,0.3,28,,,0,,0,,0,,,27,0,1,1,0.5,393,26,35,1.8,0.8,-0.8,-0.4
2015,NCAA-III,0.3,1.26,Marissa,Fichter,F,Bowdoin,24,6,5,11,5.3,3.3,12,,,1,,1,,0,,,27,8,6,14,6.6,359,51,56,8.3,3.9,2.7,1.4
2016,NCAA-III,0.3,1.22,Marissa,Fichter,F,Bowdoin,26,8,4,12,5.6,3.6,18,,,1,,2,,1,,,27,10,5,15,6.9,394,47,58,7.9,3.3,4.1,2.3
2008,NCAA-III,0.3,1.16,Stevie,Fiek,F,St Marys,23,7,4,11,5.7,3.3,14,,,2,,0,,0,,,27,8,5,13,6.6,399,48,43,5.9,3,5.1,2.7
2009,NCAA-III,0.3,1.16,Stevie,Fiek,F,St Marys,26,9,12,21,9.3,6.3,8,,,3,,1,,0,,,27,10,14,24,10.8,434,57,71,8.2,3.7,12.8,5.6
2010,NCAA-III,0.3,1.24,Stevie,Fiek,F,St Marys,20,4,8,12,4.8,3.6,10,,,0,,0,,1,,,27,5,10,15,6,441,57,81,7.2,3,4.8,1.8
2007,NCAA-III,0.3,1.13,Hannah,Figliomeni,D,Cortland,21,0,0,0,0,0,2,,,0,,0,,0,,,27,0,0,0,0,377,42,57,3.9,1.7,-3.9,-1.7
2010,NCAA-III,0.3,1.24,Liz,Figueroa,F,New England college,2,0,0,0,0,0,0,,,0,,0,,0,,,27,0,0,0,0,356,57,87,1,0.4,-1,-0.4
2011,NCAA-III,0.3,1.21,Liz,Figueroa,F,Umass Boston,20,0,0,0,0,0,4,,,0,,0,,0,,,27,0,0,0,0,441,38,53,5.2,2.2,-5.2,-2.2
2012,NCAA-III,0.3,1.23,Liz,Figueroa,F,Umass Boston,18,0,1,1,0.4,0.3,0,,,0,,0,,0,,,27,0,1,1,0.5,484,60,68,5.9,2.8,-4.9,-2.3
2013,NCAA-III,0.3,1.25,Liz,Figueroa,F,Umass Boston,1,0,0,0,0,0,2,,,0,,0,,0,,,27,0,0,0,0,486,59,77,0.3,0.1,-0.3,-0.1
2007,NCAA-III,0.3,1.13,Chelsea,Fillingim,F,St Anselm,24,3,7,10,4,3,4,,,3,,0,,0,,,27,3,8,11,4.6,468,116,160,17.3,7.3,-7.3,-3.3
2008,NCAA-III,0.3,1.16,Chelsea,Fillingim,F,St Anselm,27,6,3,9,4.1,2.7,4,,,2,,0,,0,,,27,7,3,10,4.8,486,88,118,13.9,5.8,-4.9,-1.7
2010,NCAA-III,0.3,1.24,Emma,Fillman,D,Potsdam,22,0,1,1,0.4,0.3,12,,,0,,0,,0,,,27,0,1,1,0.5,385,67,87,6.2,2.7,-5.2,-2.3
2006,NCAA-III,0.3,1.04,Alex,Findlay,D,Manhattanville,28,0,4,4,1.4,1.2,,,,0,,0,,0,,,27,0,4,4,1.5,471,106,152,10.7,4.5,-6.7,-3.1
2007,NCAA-III,0.3,1.13,Alex,Findlay,D,Manhattanville,30,2,6,8,3,2.4,30,,,0,,0,,0,,,27,2,7,9,3.4,558,143,210,13.1,5.3,-5.1,-2.3
2008,NCAA-III,0.3,1.16,Alex,Findlay,D,Manhattanville,27,4,12,16,6.6,4.8,26,,,2,,0,,0,,,27,5,14,19,7.6,477,114,150,9.9,4.4,6.1,2.2
2009,NCAA-III,0.3,1.16,Alex,Findlay,F/D,Manhattanville,24,5,9,14,5.8,4.2,12,,,1,,0,,0,,,27,6,10,16,6.7,471,133,182,19.4,8.2,-5.4,-2.5
2001,NCAA-III,0.3,0.92,Siobham,Findlay,D,Lake Forest,5,1,0,1,0.5,0.3,,,,0,,0,,0,,,27,1,0,1,0.5,282,48,42,1.1,0.6,-0.1,-0.1
2013,NCAA-III,0.3,1.25,Martha,Findley,F,St Anselm,27,0,2,2,0.6,0.6,8,,,0,,0,,0,,,27,0,3,3,0.8,486,102,161,18.4,7.2,-16.4,-6.6
2014,NCAA-III,0.3,1.24,Martha,Findley,D,St Anselm,23,3,8,11,4,3.3,12,,,0,,0,,0,,,27,4,10,14,4.9,468,90,144,7.7,3,3.3,1
2015,NCAA-III,0.3,1.26,Martha,Findley,D,St Anselm,27,2,24,26,8.3,7.8,20,,,0,,0,,0,,,27,3,30,33,10.4,486,114,188,10.8,4.4,15.2,3.9
2016,NCAA-III,0.3,1.22,Martha,Findley,D,St Anselm,27,7,23,30,10.6,9,22,,,3,,0,,0,,,27,9,28,37,13,486,132,213,12.4,4.9,17.6,5.7
2001,NCAA-III,0.3,0.92,Sara,Finesilver,F,Lake Forest,24,1,0,1,0.5,0.3,,,,0,,0,,0,,,27,1,0,1,0.5,282,48,42,9.9,5.2,-8.9,-4.7
2002,NCAA-III,0.3,1,Sara,Finesilver,F,Lake Forest,4,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,452,73,99,1.8,0.8,-1.8,-0.8
2004,NCAA-III,0.3,1.03,Mandy,Finkle,F,Utica,23,4,10,14,5.5,4.2,,,,1,,1,,0,,,27,4,10,14,5.6,446,81,117,12,5,2,0.4
2005,NCAA-III,0.3,1.01,Mandy,Finkle,F,Utica,27,10,18,28,11.5,8.4,,,,2,,0,,0,,,27,10,18,28,11.6,486,107,148,16,6.8,12,4.7
2006,NCAA-III,0.3,1.04,Mandy,Finkle,F,Utica,26,15,13,28,11.9,8.4,,,,2,,0,,0,,,27,16,14,29,12.4,462,121,179,19.5,7.6,8.5,4.3
2005,NCAA-III,0.3,1.01,Colette,Finley,F,Colby,24,5,8,13,5.7,3.9,,,,2,,0,,0,,,27,5,8,13,5.8,409,76,94,11.7,5.3,1.3,0.4
2006,NCAA-III,0.3,1.04,Colette,Finley,F,Colby,25,6,8,14,6.1,4.2,,,,3,,0,,0,,,27,6,8,15,6.4,415,59,76,9.3,4.1,4.7,2
2007,NCAA-III,0.3,1.13,Colette,Finley,F,Colby,27,5,8,13,5.8,3.9,14,,,4,,0,,0,,,27,6,9,15,6.6,485,87,105,12.7,5.8,0.3,0
2008,NCAA-III,0.3,1.16,Colette,Finley,F,Colby,22,7,6,13,5.6,3.9,10,,,1,,0,,0,,,27,8,7,15,6.5,423,74,105,10.9,4.4,2.1,1.2
2014,NCAA-III,0.3,1.24,Kelcie,Finn,F,Trinity,27,9,10,19,7.8,5.7,44,,,0,,0,,0,,,27,11,12,23,9.6,455,90,138,15.8,6.1,3.2,1.6
2015,NCAA-III,0.3,1.26,Kelcie,Finn,F,Trinity,25,7,7,14,6,4.2,8,,,1,,0,,1,,,27,9,9,18,7.5,468,77,109,11.6,4.7,2.4,1.2
2016,NCAA-III,0.3,1.22,Kelcie,Finn,F,Trinity,25,8,5,13,5.6,3.9,40,,,1,,0,,0,,,27,10,6,16,6.9,450,30,46,4.4,1.6,8.6,4.1
2006,NCAA-III,0.3,1.04,Kelsey,Finn,D,Lake Forest,8,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,420,67,85,2,0.9,-2,-0.9
2007,NCAA-III,0.3,1.13,Kelsey,Finn,D,Lake Forest,26,1,1,2,0.9,0.6,30,,,0,,0,,0,,,27,1,1,2,1,466,66,80,5.7,2.6,-3.7,-1.6
2011,NCAA-III,0.3,1.21,Colleen,Finnerty,F,Bowdoin,25,4,2,6,2.7,1.8,10,,,0,,0,,0,,,27,5,2,7,3.2,450,72,109,12.4,4.8,-6.4,-2.1
2012,NCAA-III,0.3,1.23,Colleen,Finnerty,F,Bowdoin,28,4,3,7,3.1,2.1,16,,,0,,0,,0,,,27,5,4,9,3.8,449,92,131,17.2,7,-10.2,-4
2013,NCAA-III,0.3,1.25,Colleen,Finnerty,F,Bowdoin,24,6,6,12,5.1,3.6,28,,,2,,0,,0,,,27,8,8,15,6.4,435,58,83,9,3.6,3,1.5
2014,NCAA-III,0.3,1.24,Colleen,Finnerty,F,Bowdoin,22,5,3,8,3.5,2.4,16,,,1,,0,,0,,,27,6,4,10,4.3,448,62,93,9.1,3.5,-1.1,0
2001,NCAA-III,0.3,0.92,Erin,Finnerty,F,Plattsburgh,23,3,5,8,3.4,2.4,,,,0,,0,,0,,,27,3,5,7,3.1,392,164,215,27.7,12,-19.7,-8.6
2016,NCAA-III,0.3,1.22,Taylor,Finnie,D,Morrisville,27,2,2,4,1.7,1.2,16,,,0,,0,,0,,,27,2,2,5,2.1,425,101,138,10.6,4.5,-6.6,-2.7
2006,NCAA-III,0.3,1.04,Amanda,Finstad,D,Hamline,27,4,15,19,7.4,5.7,,,,1,,1,,0,,,27,4,16,20,7.7,485,102,141,8.8,3.9,10.2,3.6
